0	966A50B68127B1BD86C329BD1198552F477E2937 EU 3602546	0882440874034AFBE2FBF16463A290F3278E24F7 EU 1536000	FAD823A2AA7400D4A8107D7CD83050EEBB7A51FE EU 3584000
1	B6295A9960F89BD0C743EEBC5670450EA6A34685 EU 6986577	C82DF250A197CF6B72DF85A534FE7450A473F62E NA 423913	0945F80534EFA2F4BD913BECBBE854A4720CC917 NA 102400
2	2D9DE0E0577126244487AE0D6423F6643CEF62CC EU 4286566	CF386B29DFC1950B576335B85FD37633C6F4C430 EU 5490898	89E3170B4E2FC9A430FB97536769FC0ABF6C4DB3 EU 7031895
3	6EA1F229A1D7ECEAAAAA83DAAAF104F5D6D50A43 NA 5204570	B0F479A7714E430FAFFA3007162435D6A3C1FA68 EU 256000	81B75D534F91BFB7C57AB67DA10BCEF622582AE8 EU 18645621
4	6EA1F229A1D7ECEAAAAA83DAAAF104F5D6D50A43 NA 5204570	A767486C30DD684929ED941169862E06F1EF8C70 EU 204800	81B75D534F91BFB7C57AB67DA10BCEF622582AE8 EU 18645621
5	A44044CD93E6E1C0D40B67F0513034188BB1D654 EU 22020096	47F9F5F1611449A867167EEDF8EE4A63ABAAF5B2 EU 1024000	81B75D534F91BFB7C57AB67DA10BCEF622582AE8 EU 18645621
6	C04BE1845AA80AA49D5353B52EE6E35B4CF1547B NA 8325669	2F6D037D29D12CAC07A4BD65442A850EAC5F9EB8 NA 6008431	8B556C9E4F3E6EA39563038CA30DD514C0F81E7F EU 1448960
7	966A50B68127B1BD86C329BD1198552F477E2937 EU 3602546	CE373649F9C0BED64568301F5B355265CB020DF3 NA 1005501	81B75D534F91BFB7C57AB67DA10BCEF622582AE8 EU 18645621
8	A44044CD93E6E1C0D40B67F0513034188BB1D654 EU 22020096	B19D864A6421D8D0AEC13B2AFAA592943E2C88E4 EU 2457600	89E3170B4E2FC9A430FB97536769FC0ABF6C4DB3 EU 7031895
9	966A50B68127B1BD86C329BD1198552F477E2937 EU 3602546	2F6D037D29D12CAC07A4BD65442A850EAC5F9EB8 NA 6008431	89E3170B4E2FC9A430FB97536769FC0ABF6C4DB3 EU 7031895
10	B6295A9960F89BD0C743EEBC5670450EA6A34685 EU 6986577	2F6D037D29D12CAC07A4BD65442A850EAC5F9EB8 NA 6008431	A02FDFB5C94368189246FEE1D85030FB6936B1D8 EU 262144
11	52AEA31188331F421B2EDB494DB65CD181E5B257 EU 2097152	CE373649F9C0BED64568301F5B355265CB020DF3 NA 1005501	89E3170B4E2FC9A430FB97536769FC0ABF6C4DB3 EU 7031895
12	A44044CD93E6E1C0D40B67F0513034188BB1D654 EU 22020096	CE373649F9C0BED64568301F5B355265CB020DF3 NA 1005501	89E3170B4E2FC9A430FB97536769FC0ABF6C4DB3 EU 7031895
