0	10A8D7312A6A61F7CE93C842960AE4342C5306E9 EU 7189833	44BEEA03A5338D7308D06DA3D56F1F2F2F9FBFC2 EU 10240000	0011BD2485AD45D984EC4159C88FC066E5E3300E NA 7945271
1	593531849D8C80787409EEBEB9F543A21F19D2CB EU 5673530	48AA2231E794DDC07B8A9D17CF5140F1252EB162 EU 1792000	62C3FB37C44555E55A62BBD7CDDD97FE4894F317 EU 5899682
2	0F76F0BC79D4C972A1790E88B16AB39F50A46C04 EU 12507690	2912E8526BE85CA05B0B74C455E887756B0E9AFC EU 1945600	4B26553B262BAFD905EE2C18291FA78BF8EC177B NA 13317217
3	F43AA1EC55706036EDCF82F594B5E1FB99B35FF4 EU 6246400	6C379F85E665D332AA5058E72E1214954C2A10B7 NA 102400	C4F0FFD70EFD76D367B861863BA9C3195D752B6E EU 4447789
4	902F781A75D3CC0618BD81C55968F60633B54211 EU 2856535	9E339307A3A118997B9764082DAF8773E7983E05 EU 5632000	0011BD2485AD45D984EC4159C88FC066E5E3300E NA 7945271
5	CEC49773C9420F8476AB6C31EC7A649E2633E13C EU 8704000	7E32DBD533A30D724FC005EB2B9F8900A69919FB EU 12212081	4B26553B262BAFD905EE2C18291FA78BF8EC177B NA 13317217
6	6A7551EEE18F78A9813096E82BF84F740D32B911 EU 7787053	44BEEA03A5338D7308D06DA3D56F1F2F2F9FBFC2 EU 10240000	4B26553B262BAFD905EE2C18291FA78BF8EC177B NA 13317217
7	B147EA3103DBD508E7654B7CBA84DFA0BF64EB14 EU 6553600	10A8D7312A6A61F7CE93C842960AE4342C5306E9 EU 7189833	C4F0FFD70EFD76D367B861863BA9C3195D752B6E EU 4447789
8	6A7551EEE18F78A9813096E82BF84F740D32B911 EU 7787053	5751514249B4A7FA5187363BB6C4F76126729137 NA 2097152	8BFD4BAAD59C64D43DD2221C700C8D6CE9F2C7AA NA 10536921
9	10A8D7312A6A61F7CE93C842960AE4342C5306E9 EU 7189833	44BEEA03A5338D7308D06DA3D56F1F2F2F9FBFC2 EU 10240000	24835DBD5492E21F7987DFC3FACB39016BEE59A8 EU 1126400
